ID,CLK,Strategy,Run Duration,Solve Method Duration,Solver Duration,Var Num,Constraint Num,Quality
0,5,ASAP,0.147230,0.000000,0.000000,0,0,145835
0,6,ASAP,0.145670,0.000000,0.000000,0,0,118507
0,7,ASAP,0.152830,0.000000,0.000000,0,0,98834
0,8,ASAP,0.151400,0.000000,0.000000,0,0,85322
0,9,ASAP,0.150870,0.000000,0.000000,0,0,72421
0,10,ASAP,0.152460,0.000000,0.000000,0,0,61901
0,5,Int,17.834940,17.569770,17.169420,5751,17605,74247
0,6,Int,17.423520,17.116240,16.756000,5751,16121,61186
0,7,Int,13.974130,13.724250,13.356810,5751,15590,50200
0,8,Int,17.374330,17.121940,16.771420,5751,14234,41960
0,9,Int,14.588830,14.326170,13.972350,5751,14888,37122
0,10,Int,16.454890,16.191590,15.830740,5751,14602,31072
0,5,SDC,7.136800,6.980280,6.605660,5751,17605,74247
0,6,SDC,7.300860,7.148070,6.784970,5751,16121,61186
0,7,SDC,6.139680,5.986240,5.626240,5751,15590,50200
0,8,SDC,7.210000,7.059410,6.709100,5751,14234,41960
0,9,SDC,5.967030,5.812960,5.456810,5751,14888,37122
0,10,SDC,7.047130,6.893950,6.539740,5751,14602,31072
0,5,MinCut,98.071990,0.000000,0.000000,0,0,82764
0,6,MinCut,102.166780,0.000000,0.000000,0,0,67421
0,7,MinCut,97.829660,0.000000,0.000000,0,0,54782
0,8,MinCut,117.312200,0.000000,0.000000,0,0,49739
0,9,MinCut,88.876400,0.000000,0.000000,0,0,39694
0,10,MinCut,95.971140,0.000000,0.000000,0,0,35641
1,5,ASAP,0.150540,0.000000,0.000000,0,0,174509
1,6,ASAP,0.148890,0.000000,0.000000,0,0,138963
1,7,ASAP,0.147950,0.000000,0.000000,0,0,121525
1,8,ASAP,0.145850,0.000000,0.000000,0,0,101972
1,9,ASAP,0.146380,0.000000,0.000000,0,0,83951
1,10,ASAP,0.145910,0.000000,0.000000,0,0,76438
1,5,Int,28.017970,27.739370,27.338490,5861,18903,82873
1,6,Int,16.392670,16.120270,15.748400,5861,17499,66649
1,7,Int,25.505520,25.215170,24.833520,5861,17324,58240
1,8,Int,20.295760,20.043320,19.667030,5861,16285,48731
